"Town","County","CrimeScore"
"CALSTOCK","CORNWALL",9.978
"DELABOLE","CORNWALL",9.96
"HOLSWORTHY","CORNWALL",9.95275
"TINTAGEL","CORNWALL",9.947
"BOSCASTLE","CORNWALL",9.9265
"CALLINGTON","CORNWALL",9.9255
"GUNNISLAKE","CORNWALL",9.9245
"MARAZION","CORNWALL",9.9205
"PORT ISAAC","CORNWALL",9.898
"ST AGNES","CORNWALL",9.895
"LOOE","CORNWALL",9.8795
"LOSTWITHIEL","CORNWALL",9.87233333333333
"FOWEY","CORNWALL",9.86533333333333
"WADEBRIDGE","CORNWALL",9.84975
"BODMIN","CORNWALL",9.84793333333333
"HELSTON","CORNWALL",9.84109090909091
"CAMELFORD","CORNWALL",9.83666666666667
"TORPOINT","CORNWALL",9.82814285714286
"PADSTOW","CORNWALL",9.825
"PERRANPORTH","CORNWALL",9.823
"ST IVES","CORNWALL",9.82055555555556
"LAUNCESTON","CORNWALL",9.8148
"BUDE","CORNWALL",9.813125
"LISKEARD","CORNWALL",9.80883333333333
"PENZANCE","CORNWALL",9.80604761904762
"HAYLE","CORNWALL",9.80525
"SALTASH","CORNWALL",9.795
"ST COLUMB","CORNWALL",9.78766666666667
"REDRUTH","CORNWALL",9.78633333333333
"PENRYN","CORNWALL",9.78083333333333
"CAMBORNE","CORNWALL",9.76308333333333
"TRURO","CORNWALL",9.74812
"ST AUSTELL","CORNWALL",9.72276470588235
"PAR","CORNWALL",9.71733333333333
"NEWQUAY","CORNWALL",9.70886666666667
"FALMOUTH","CORNWALL",9.70136363636364
"BRISTOL","CITY OF BRISTOL",9.46836312849162
