"Town","County","School Score"
"CORNWALL","CORNWALL",5.59
"ST IVES","CORNWALL",4.99
"NEWQUAY","CORNWALL",4.7975
"PENRYN","CORNWALL",4.775
"HELSTON","CORNWALL",4.7475
"ST AUSTELL","CORNWALL",4.72666666666667
"WADEBRIDGE","CORNWALL",4.66
"BUDE","CORNWALL",4.645
"FALMOUTH","CORNWALL",4.645
"CAMBORNE","CORNWALL",4.625
"LAUNCESTON","CORNWALL",4.465
"PENZANCE","CORNWALL",4.43166666666667
"TORPOINT","CORNWALL",4.36
"REDRUTH","CORNWALL",4.2875
"SALTASH","CORNWALL",4.265
"HAYLE","CORNWALL",4.26
"CALLINGTON","CORNWALL",4.225
"LISKEARD","CORNWALL",4.225
"LOOE","CORNWALL",4.08
"CAMELFORD","CORNWALL",4.06
"FOWEY","CORNWALL",3.835
"BODMIN","CORNWALL",3.825
"BRISTOL","CITY OF BRISTOL",3.8208064516129
"TRURO","CORNWALL",3.4275
"CHIPPENHAM","CITY OF BRISTOL",0.31
